  数  【かず】  number, amount
  光り輝く  【ひかりかがやく】  to shine, to glitter
  一筋の希望の光  【ひとすじのきぼうのひかり】  a ray of hope
  越光  【こしひかり】  Koshihikari (variety of rice)

  角  【かど】  corner (e.g. desk, pavement), edge
  角地  【かどち】  corner lot
  四つ角  【よつかど】  four corners, crossroads, intersecting street, street corner
  塩角  【しおかど】  sharp taste of (refined) salt
  角  【つの】  horn, antler, antenna, feeler, tentacle (e.g. of a snail), horn-like projection (e.g. peaks of whipped cream)
  角隠し  【つのかくし】  bride's head-dress
  枝角  【えだづの】  antler (deer, etc.)
  豊饒の角  【ほうじょうのつの】  cornucopia, horn of plenty

  計る  【はかる】  to measure, to weigh, to survey, to time (sound, gauge, estimate), to conjecture, to infer, to surmise
  計らう  【はからう】  to manage, to arrange, to talk over, to dispose of

  直ちに  【ただちに】  at once, immediately, directly, in person, automatically
  治す  【なおす】  to cure, to heal, to fix, to correct, to repair, to do over again, to replace, to put back as it was, to convert (into a different state), to transform
  治る  【なおる】  to be cured, to get well, to be healed, to get mended, to be repaired, to be fixed
  直き  【なおき】  straight, upright
  直ぐ  【すぐ】  immediately, at once, right away, directly, soon, before long, shortly, easily, readily, without difficulty, right (near), nearby, just (handy), honest, upright, frank, straightforward
  直ぐに  【すぐに】  immediately, right away, at once, instantly
  真直ぐ  【ますぐ】  straight (ahead), direct, upright, erect, straightforward, honest, frank



  矢  【や】  arrow, wedge, chock
  矢印  【やじるし】  arrow (mark or symbol), directional marker or indicator
  弓矢  【ゆみや】  bow and arrow
  洗い矢  【あらいや】  ramrod, cleaning rod

  弱い  【よわい】  weak, frail, delicate, tender, unskilled, weak (wine)
  弱い者  【よわいもの】  weak person, the weak
  弱る  【よわる】  to weaken, to grow weak, to wane, to decline (of one's health), to be downcast, to be dejected, to be dispirited, to be troubled, to be at a loss, to be perplexed, to be annoyed
  弱まる  【よわまる】  to abate, to weaken, to be emaciated, to be dejected, to be perplexed
  弱める  【よわめる】  to weaken

  強い  【つよい】  strong, potent, competent, domineering, tough, strong, brawny, powerful, healthy, rugged, good (at), skilled, knowledgeable, being able to handle, know how to deal (with), durable (against), resistant (to), resilient, firm, rigid, solid, intense, strong, fierce, high, dependable, trustworthy
  強い心  【つよいこころ】  stout heart, strong mind
  強まる  【つよまる】  to get strong, to gain strength
  強める  【つよめる】  to strengthen, to emphasize, to emphasise
  強いる  【しいる】  to force, to compel, to coerce
  強い  【こわい】  tough, stiff, hard, inflexible, obstinate, stubborn
  強飯  【こわめし】  glutinous rice with red beans (eaten on celebratory occasions), mochi rice with red beans

  高い  【たかい】  high, tall, expensive, high-priced, high (level), above average (in degree, quality, etc.), loud, high-pitched, shrill
  高いびき  【たかいびき】  loud snoring
  高  【たか】  quantity, amount, volume, number, amount of money
  高い  【たかい】  high, tall, expensive, high-priced, high (level), above average (in degree, quality, etc.), loud, high-pitched, shrill
  威高  【いたか】  arrogant
  背高  【せいたか】  tallness, tall person
  高まる  【たかまる】  to rise, to swell, to be promoted
  高める  【たかめる】  to raise, to lift, to boost, to enhance

  同じ  【おなじ】  same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike, anyway, anyhow, in either case
  同じく  【おなじく】  similarly, same (idea), same (name)

  親  【おや】  parent, parents, mother and father, dealer (in cards, mahjong, etc.), banker, founder, inventor, (pet) owner, key, parent (organization), main, ancestor, forefather
  親指  【おやゆび】  thumb
  名付け親  【なづけおや】  godparent, first person to give something its name
  里親  【さとおや】  foster parent, foster parents
  親しい  【したしい】  close (e.g. friend), familiar, friendly, intimate, familiar (e.g. story), well-known (to one), close (relatives), closely related
  親しい友達  【したしいともだち】  close (intimate) friend
  親しむ  【したしむ】  to be intimate with, to befriend

  母  【はは】  mother
  母親  【ははおや】  mother
  必要は発明の母  【ひつようははつめいのはは】  necessity is the mother of invention
  義理の母  【ぎりのはは】  mother-in-law, foster mother, stepmother
  母屋  【もや】  purlin (structural beam in a roof), purline, main building (of a manor), central room (in traditional palatial-style architecture)
  母屋桁  【もやげた】  purlin (structural beam in a roof), purline
  雲母  【うんも】  mica, isinglass
  乳母  【うば】  wet nurse, nursing mother

  父  【ちち】  father
  父親  【ちちおや】  father
  原子物理学の父  【げんしぶつりがくのちち】  father of atomic physics
  義理の父  【ぎりのちち】  father-in-law, foster father, stepfather

  姉  【あね】  older sister, elder sister
  姉さん  【ねえさん】  elder sister, young lady, miss, ma'am
  大姉  【おおあね】  eldest sister

  兄  【あに】  elder brother, older brother
  兄貴  【あにき】  elder brother, one's senior, older man, man older than oneself
  中の兄  【なかのあに】  middle brother
  義理の兄  【ぎりのあに】  one's brother-in-law, stepbrother (elder)

  弟  【おとうと】  younger brother, little brother, kid brother, pupil, apprentice
  弟君  【おとうとぎみ】  younger brother

  妹  【いもうと】  younger sister
  妹さん  【いもうとさん】  younger sister

  自ら  【みずから】  oneself, for one's self, personally
  自ら進んで  【みずからすすんで】  by choice, of one's own free will, on one's own initiative, off one's own bat
  自ずから  【おのずから】  naturally, as a matter of course
  自ずから明らか  【おのずからあきらか】  self-evident
  自ずと  【おのずと】  naturally, in due course, by itself

  友  【とも】  friend, companion, comrade, pal
  友達  【ともだち】  friend, companion
  竹馬の友  【ちくばのとも】  childhood friend, old playmate
  住友  【すみとも】  Sumitomo (company)

  体  【からだ】  body, torso, trunk, build, physique, constitution, health, corpse, dead body
  体つき  【からだつき】  body build, figure
  御体  【おんからだ】  body of Christ (Eucharist)
  形体  【なりかたち】  one's appearance

  毛  【け】  hair, fur, wool, down, plumage, feathers
  毛皮  【けがわ】  fur, skin, pelt, kanji "fur" radical
  お毛々  【おけけ】  pubic hair
  猫っ毛  【ねこっけ】  fine, soft hair

  頭  【あたま】  head, hair (on one's head), mind, brains, intellect, leader, chief, boss, captain, top, tip, beginning, start, head, person, top structural component of a kanji, pair
  頭打ち  【あたまうち】  reaching a peak, reaching the limit, plateauing, maxing out
  石頭  【いしあたま】  hard-headed person, stubbornness, obstinacy, pigheadedness
  ごま塩頭  【ごましおあたま】  salt and pepper hair, dark hair streaked with gray
  頭  【あたま】  head, hair (on one's head), mind, brains, intellect, leader, chief, boss, captain, top, tip, beginning, start, head, person, top structural component of a kanji, pair
  頭文字  【かしらもじ】  first letter of a word, capital letter (at the start of a word or sentence), initials (of one's name)
  鯛の尾より鰯の頭  【たいのおよりいわしのかしら】  better be the head of a dog than the tail of a lion
  め組の頭  【めぐみのかしら】  fire brigade chief (in Edo), chief fireman
  頭  【こうべ】  head
  頭を振る  【かぶりをふる】  to shake one's head (in denial)

  顔  【かお】  face, visage, look, expression, countenance, honor, honour, face, influence, notoriety
  顔つき  【かおつき】  (outward) looks, features, face, countenance, expression
  いい顔  【いいかお】  big-shot, influential person, happy face, smiling face, sympathetic attitude
  涼しい顔  【すずしいかお】  nonchalant air, unruffled air

  首  【くび】  neck, head, dismissal, discharge, firing (from a job)
  首飾り  【くびかざり】  necklace, choker
  縛り首  【しばりくび】  (death by) hanging
  猪首  【いくび】  bull neck

  心  【こころ】  mind, heart, spirit, the meaning of a phrase (riddle, etc.)
  心得る  【こころえる】  to know, to understand, to be aware of, to regard as, to take for, to consent, to agree
  真心  【まごころ】  sincerity, true heart, devotion
  我が心  【わがこころ】  my heart

  時  【とき】  time, hour, moment, occasion, case, chance, opportunity, season, the times, the age, the day, tense
  時々  【ときどき】  sometimes, at times
  その時  【そのとき】  at that time, at that moment, then, on that occasion
  切り替え時  【きりかえとき】  time to switch over, response time



  朝  【あさ】  morning
  朝ご飯  【あさごはん】  breakfast
  後の朝  【のちのあした】  the morning after (having slept together)
  霜朝  【しもあさ】  frosty morning

  昼  【ひる】  noon, midday, daytime, lunch
  昼間  【ひるま】  daytime, during the day, time from sunrise until sunset, diurnal period
  小昼  【こひる】  just before noon, late-morning snack
  夜昼  【よるひる】  day and night

  夜  【よる】  evening, night
  夜明け  【よあけ】  dawn, daybreak
  毎夜  【まいよ】  every evening
  短夜  【みじかよ】  short summer night
  夜  【よる】  evening, night
  夜遅く  【よるおそく】  late at night, at a late hour
  御寝  【およる】  sleep, rest
  冴えた夜  【さえたよる】  crisp and cold night

  分ける  【わける】  to divide (into), to split (into), to part, to separate, to divide up, to classify, to sort out, to divide out, to share, to distribute, to deal out, to dish out, to distinguish, to discriminate, to differentiate (between), to break up (a fight), to mediate, to call a draw, to tie, to push one's way through (a crowd), to sell
  分け  【わけ】  sharing, division, draw, tie
  分ける  【わける】  to divide (into), to split (into), to part, to separate, to divide up, to classify, to sort out, to divide out, to share, to distribute, to deal out, to dish out, to distinguish, to discriminate, to differentiate (between), to break up (a fight), to mediate, to call a draw, to tie, to push one's way through (a crowd), to sell
  申し訳  【もうしわけ】  apology, excuse
  追分  【おいわけ】  forked road
  分かれる  【わかれる】  to branch, to fork, to diverge, to separate, to split, to divide, to disperse, to scatter
  分かる  【わかる】  to understand, to comprehend, to grasp, to see, to get, to follow, to become clear, to be known, to be discovered, to be realized, to be realised, to be found out
  分かつ  【わかつ】  to divide, to separate, to share, to distribute, to distinguish



  春  【はる】  spring, springtime, New Year, prime (of one's life, etc.), adolescence, puberty, sexuality
  春先  【はるさき】  beginning of spring
  初春  【しょしゅん】  beginning of spring, first month of the lunar calendar, New Year
  小春  【こはる】  10th month of the lunisolar calendar (traditional first month of winter, approx. November), late autumn, late fall

  夏  【なつ】  summer
  夏休み  【なつやすみ】  summer vacation, summer holiday
  初夏  【しょか】  early summer, fourth month of the lunar calendar
  常夏  【とこなつ】  everlasting summer

  秋  【あき】  autumn, fall
  秋風  【あきかぜ】  autumn breeze, fall breeze
  春秋  【しゅんじゅう】  spring and autumn, spring and fall, years, age, The Spring and Autumn Annals, The Chronicles of Lu, Chunqiu, Ch'un Ch'iu
  中秋  【ちゅうしゅう】  15th day of the 8th lunar month, eighth month of the lunar calendar
  時  【とき】  time, hour, moment, occasion, case, chance, opportunity, season, the times, the age, the day, tense
  危急存亡の秋  【ききゅうそんぼうのとき】  crisis, critical moment, critical time

  冬  【ふゆ】  winter
  冬場  【ふゆば】  the winter season
  初冬  【しょとう】  early winter, tenth month of the lunar calendar
  毎冬  【まいふゆ】  every winter

  今  【いま】  now, the present time, just now, soon, immediately, (one) more
  今に  【いまに】  before long, even now
  中今  【なかいま】  the present (esp. as a privileged moment in eternity)
  今が今  【いまがいま】  just now

  新しい  【あたらしい】  new, novel, fresh, recent, latest, up-to-date, modern
  新しいもの好き  【あたらしいものずき】  neophilia, love of new things
  新た  【あらた】  new, fresh, novel
  新田  【しんでん】  new rice field, newly developed rice field, wasteland or marshland newly reclaimed as a rice field (Edo period)

  古い  【ふるい】  old (not person), aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article
  古家  【ふるいえ】  old house, deserted house

  間  【あいだ】  space (between), gap, interval, distance, time (between), pause, break, span (temporal or spatial), stretch, period (while), relationship (between, among), members (within, among), due to, because of
  間柄  【あいだがら】  relationship, relation, terms (good, friendly, etc.)
  候間  【そうろうあいだ】  as ...
  ついこの間  【ついこのあいだ】  just the other day, quite recently
  間  【ま】  time, pause, space, room
  間に合う  【まにあう】  to be in time for, to serve (suit, meet) the purpose, to be good enough, to be enough
  客間  【きゃくま】  drawing room, parlor, parlour, guest room
  つかの間  【つかのま】  moment, brief space of time
  間  【あいだ】  space (between), gap, interval, distance, time (between), pause, break, span (temporal or spatial), stretch, period (while), relationship (between, among), members (within, among), due to, because of
  間柄  【あいだがら】  relationship, relation, terms (good, friendly, etc.)
  波間  【なみま】  interval between the waves, gap between waves
  幕間  【まくあい】  intermission (between acts), interlude

  方  【かた】  direction, way, person, lady, gentleman, method of, manner of, way of, care of ..., person in charge of ..., side (e.g. "on my mother's side")
  方々  【かたがた】  they (of people), gentlemen (of the ...), you (usu. plural), various
  味方  【みかた】  friend, ally, supporter, taking sides with, supporting, standing by, backing up
  大方  【おおかた】  large part, greater part, majority, people in general, general public, public at large, mostly, for the most part, almost, nearly, probably, maybe, perhaps

  北  【きた】  north, the North, northern territories, North Korea, north wind
  北アイルランド  【きたアイルランド】  Northern Ireland
  東北  【とうほく】  north-east, Tōhoku (northernmost six prefectures of Honshu), Tohoku
  西北  【せいほく】  north-west

  南  【みなみ】  south
  南アフリカ  【みなみアフリカ】  South Africa
  東南  【とうなん】  south-east
  西南  【せいなん】  south-west

  東  【ひがし】  east
  東西  【とうざい】  east and west, Orient and Occident, East and West, Ladies and Gentlemen!, Your attention, please!, roll-up, roll-up

  西  【にし】  west
  西日  【にしび】  westering sun, setting sun
  南西  【なんせい】  southwest
  東は東西は西  【ひがしはひがしにしはにし】  East is East, and West is West

  遠い  【とおい】  far, distant, far away, a long way off, in the distance, distant (past), remote (in time), remote, far-removed (in time), distant (relationship or kinship), having little to do (with someone), far (from something else in quality, degree, etc.), not similar, way off, hard (of hearing), nearsighted
  遠い昔  【とおいむかし】  remote past, far ago, time immemorial

  近い  【ちかい】  near, close, short (distance), close (in time), soon, close (relationship), friendly, intimate, closely related, similar, likeworthy, almost the same
  近いうちに  【ちかいうちに】  before long

  前  【まえ】  ago, before (some event), previously, (minutes) to (the hour), in front (of), before (e.g. the house), head (of a line), front (e.g. of a bus), fore part, in the presence of, helping, portion, privates, private parts
  前売り  【まえうり】  advance sale, booking
  昼前  【ひるまえ】  morning, forenoon, just before noon
  一人前  【いちにんまえ】  one portion, one serving, one person, adult, grown-up, person who has come of age, fully fledged, established, qualified

  後  【のち】  later, afterwards, since, future, after one's death, descendant
  後ほど  【のちほど】  later on, eventually, afterwards
  後々  【あとあと】  distant future
  この後  【このあと】  after this, henceforth, henceforward, from now on
  後ろ  【うしろ】  back, behind, rear
  後ろ姿  【うしろすがた】  retreating figure, appearance from behind
  後ろ  【うしろ】  back, behind, rear
  後ろ姿  【うしろすがた】  retreating figure, appearance from behind
  後  【あと】  behind, rear, after, later, after one's death, remainder, the rest, descendant, successor, heir, more (e.g. five more minutes), left, also, in addition, past, previous
  後回し  【あとまわし】  putting off, postponing
  亡き後  【なきあと】  after one's death
  後々  【あとあと】  distant future
  遅れる  【おくれる】  to be late, to be delayed, to fall behind schedule, to be overdue

  内  【うち】  inside, within, while, among, amongst, between, we, our, my spouse, imperial palace grounds, emperor, I, me
  内訳  【うちわけ】  itemization (of expenses), the items, breakdown, classification
  お家  【おうち】  your home, your family, their home, their family, (my) home
  幕内  【まくうち】  highest-ranking division

  外  【そと】  outside, exterior, open air, other place
  外国  【がいこく】  foreign country
  家の外  【いえのそと】  outside the house
  蚊帳の外  【かやのそと】  leaving out of an event, treating as an outsider, outside the mosquito net
  他  【ほか】  other (place, thing, person), the rest, outside, beyond, nothing except, nothing but, nothing apart from, nothing aside from, no choice (but to), besides..., in addition to...
  外人  【がいじん】  foreigner (esp. one of European ancestry), gaijin, outsider
  この外  【このほか】  besides, moreover, in addition
  思いのほか  【おもいのほか】  unexpectedly, surprisingly, unexpected
  外す  【はずす】  to remove, to take off, to detach, to unfasten, to undo, to drop (e.g. from a team), to remove (from a position), to exclude, to expel, to leave (e.g. one's seat), to go away from, to step out, to slip away, to dodge (a question, blow, etc.), to evade, to sidestep, to avoid (e.g. peak season), to miss (a target, chance, punch, etc.)
  外れる  【はずれる】  to be disconnected, to get out of place, to be off, to be out (e.g. of gear)

  場  【ば】  place, spot, space, field, discipline, sphere, realm, occasion, situation, scene (of a play, movie, etc.), session (of the stock market), area in which cards are laid out (in a card game), round (i.e. east, south, etc.), field, field (gestalt psychology)
  場合  【ばあい】  case, situation
  立場  【たちば】  position, situation, viewpoint, standpoint, point of view
  役場  【やくば】  town hall



  国  【くに】  country, state, region, national government, central government, home (i.e. hometown, home country), province (of Japan), land, earth
  国境  【こっきょう】  national border, provincial border
  お国  【おくに】  your native country, your hometown, my home country (i.e. Japan), countryside, country, daimyo's territory (Edo period)
  根堅州国  【ねのかたすくに】  underworld, netherworld

  園  【その】  garden (esp. man-made), orchard, park, plantation, place, location
  園生  【えんせい】  garden (esp. with trees), park
  竹の園  【たけのその】  bamboo garden, Imperial family
  学びの園  【まなびのその】  educational institution

  谷  【たに】  valley
  谷間  【たにま】  valley, ravine, chasm, dell, cleavage
  不気味の谷  【ぶきみのたに】  uncanny valley (hypothesis about humanoid robots)
  千仭の谷  【せんじんのたに】  bottomless ravine
  極まる  【きわまる】  to reach an extreme, to reach a limit, to terminate, to come to an end, extremely, to be stuck, to be in a dilemma, to be at a loss, to be decided, to be settled

  野  【の】  plain, field, hidden (structural) member, wild, lacking a political post
  野原  【のはら】  field
  裾野  【すその】  foot of a mountain, plain at the foot of a mountain, range, spread, extent, encompassing circle
  郊野  【こうの】  suburban fields

  原  【はら】  field, plain, prairie, tundra, moor, wilderness
  原っぱ  【はらっぱ】  open field, empty lot, plain
  草原  【そうげん】  grass-covered plain, grasslands, meadows, savannah, prairie, steppe
  萩原  【はぎはら】  reedy field

  里  【さと】  village, hamlet, countryside, country, home (of one's parents, etc.), hometown, one's origins, one's upbringing, one's past
  里心  【さとごころ】  homesickness, nostalgia
  お里  【おさと】  one's parents' home, one's origins, one's upbringing, one's past
  夏山冬里  【なつやまふゆさと】  pasturing cattle in summer and feeding them indoors during winter, rotated grazing

  市  【いち】  market, fair
  市場  【いちば】  (town) market, (the) marketplace
  骨董市  【こっとういち】  antique market, flea market
  草市  【くさいち】  flower market during obon

  都  【みやこ】  capital, metropolis, seat of government, capital (of music, fashion, etc.), city (e.g. of light), location of the Imperial Palace
  長岡京  【ながおかきょう】  Nagaoka-kyō (capital of Japan 784-794)

  風  【かぜ】  wind, breeze, draught, draft, manner, behaviour, behavior, cold, influenza
  風邪  【かぜ】  common cold, cold, influenza, flu, ague
  涼風  【りょうふう】  cool breeze, refreshing breeze
  西風  【にしかぜ】  west wind

  雪  【ゆき】  snow
  雪国  【ゆきぐに】  snow country
  細雪  【ささめゆき】  light snow fall, small snow flakes
  粉雪  【こなゆき】  powdered snow

  雲  【くも】  cloud
  雲行き  【くもゆき】  weather, look of the sky, situation, turn of affairs, signs, way the wind is blowing
  闇雲  【やみくも】  reckless, (at) random, haphazard, blind, sudden, abrupt
  白雲  【しらくも】  white clouds

  池  【いけ】  pond
  池蝶貝  【いけちょうがい】  Hyriopsis schlegelii (species of freshwater mussel)
  用水池  【ようすいいけ】  reservoir
  人工池  【じんこういけ】  artificial pool

  海  【うみ】  sea, ocean, waters
  海路  【かいろ】  sea route
  内海  【うちうみ】  inlet, bay, inland sea
  血の海  【ちのうみ】  sea of blood, pool of blood

  岩  【いわ】  rock, boulder, crag, cliff, anchor
  岩戸  【いわと】  rock door (to a cave)
  一枚岩  【いちまいいわ】  monolith, large slab of rock
  浮岩  【うきいわ】  rock partially submerged in water, rock partially emerging from the water, pumice stone

  星  【ほし】  star, any light-emitting (or reflecting) heavenly body (except for the sun and the moon), offender, perpetrator, star point (in go), hoshi, intersection marked with a dot, circular symbol (said to be shaped like a shining star), bullseye, one's star (out of the nine stars), the star that determines one's fate, small dot, spot, point, score
  星空  【ほしぞら】  starry sky
  四三の星  【しそうのほし】  the Big Dipper (asterism), the Plough, the Plow
  希望の星  【きぼうのほし】  ray of light, ray of hope, promising talent

  室  【むろ】  greenhouse, icehouse, cellar
  室町  【むろまち】  Muromachi (era 1392-1573, or 1333-1573, or 1336-1573)
  石室  【せきしつ】  stone hut, rock chamber, tomb, stone burial chamber
  氷室  【こおりむろ】  ice house, ice room, cold room

  戸  【と】  door (esp. Japanese-style), shutter, window shutter, entrance (to a home), narrows
  戸棚  【とだな】  cupboard, locker, closet, wardrobe, cabinet
  鳴門  【なると】  strait with a roaring tidal ebb and flow, whirlpool, maelstrom, kamaboko with a spiral whirlpool-like pattern, cooking technique where ingredients are cut in a spiral pattern, Naruto, city in NE Tokushima pref, Naruto Strait, Naruto wakame
  引き戸  【ひきど】  sliding door

  家  【いえ】  house, residence, dwelling, family, household, lineage, family name
  家主  【やぬし】  landlord, landlady, house owner, home owner, head of the household
  本家  【ほんけ】  head house (family), birthplace, originator
  小家  【こいえ】  small and simple home
  屋  【や】  (something) shop, somebody who sells (something) or works as (something), somebody with a (certain) personality trait, house, roof
  家内  【かない】  (my) wife, inside the home, one's family
  隠れ家  【かくれが】  hiding place, hideout, refuge, retreat, hideaway
  長屋  【ながや】  tenement house, row house
  家  【うち】  house, home (one's own), (one's) family, (one's) household
  家中  【うちじゅう】  whole family, all (members of) the family, all over the house, retainer of a daimyo, feudal domain, clan
  お家  【おうち】  your home, your family, their home, their family, (my) home

  寺  【てら】  temple (Buddhist)
  寺子屋  【てらこや】  temple elementary school (during the Edo period)
  お寺  【おてら】  temple, monk
  宮寺  【ぐうじ】  Buddhist temple within a Shinto shrine

  通る  【とおる】  to go by, to go past, to go along, to travel along, to pass through, to use (a road), to take (a route), to go via, to go by way of, to run (between), to operate (between), to connect, to go indoors, to go into a room, to be admitted, to be shown in, to be ushered in, to come in, to penetrate, to pierce, to skewer, to go through, to come through, to permeate, to soak into, to spread throughout, to carry (e.g. of a voice), to reach far, to be passed on (e.g. of a customer's order to the kitchen), to be relayed, to be conveyed, to pass (a test, a bill in the House, etc.), to be approved, to be accepted, to go by (a name), to be known as, to be accepted as, to have a reputation for, to be coherent, to be logical, to be reasonable, to be comprehensible, to be understandable, to make sense, to get across (e.g. of one's point), to be understood, to be straight (e.g. wood grain), to be well-informed, to be wise, to do ... completely, to do ... thoroughly
  通り  【とおり】  avenue, street, way, road, coming and going, street traffic, flow (of water, air, etc.), transmission (of sound), reach (e.g. of voice), fame, reputation, popularity, the same status or way, as (e.g. as expected, as I said), understanding, comprehension, counter for sets of things, counter for methods, ways, types
  通り過ぎる  【とおりすぎる】  to go past, to pass, to pass by
  通す  【とおす】  to stick through, to force through, to spread throughout, to thoroughly diffuse, to make a path between two points, to proceed in a logical manner, to let pass, to allow through, to lead (someone) into (a house, room, etc.), to show in, to go through (a middleman), to (look, listen) through (a window, wall, etc.), to pass (a law, applicant, etc.), to force to accept, to force agreement, to continue (in a state), to persist in, to do to the entirety of, to cover all of, to span the whole ..., to do from beginning to end without a break, to convey (one's ideas, etc.) to the other party, to do to the end, to carry through, to complete
  通し  【とおし】  direct, right through, straight, appetizer, appetiser, performance of an entire play
  通し切符  【とおしきっぷ】  through ticket (e.g. rail, air), ticket good for multiple performances (e.g. both matinee and evening shows), all-day ticket, season ticket
  切通し  【きりどおし】  (railway) cutting, excavation, sunken road, opencut
