  久しい  【ひさしい】  long (time), long-continued, old (story)
  弾み  【はずみ】  bounce, spring, rebound, momentum, impetus, impulse, stimulus, inertia, moment, instant, impulse, chance
  弾車  【はずみぐるま】  flywheel

  厚い  【あつい】  thick, deep, heavy, kind, cordial, hospitable, warm, faithful, serious (of an illness), abundant
  厚板  【あついた】  plank, thick board, plate glass, heavy metal sheet (esp. welding), heavy brocaded obi





  営む  【いとなむ】  to run (a business), to operate, to conduct, to practice (law, medicine, etc.), to carry out, to perform, to lead (a life), to hold (a Buddhist or Shinto ceremony)
  営み  【いとなみ】  activity, action, performance, execution, occupation, business, work, sexual intercourse, sex

  因る  【よる】  to be due to, to be caused by, to depend on, to turn on, to be based on, to come from, to be based at (a location, an organization), to be headquartered at
  因む  【ちなむ】  to be associated (with), to be connected (with)



  押す  【おす】  to push, to press, to apply pressure from above, to press down, to stamp (i.e. a passport), to apply a seal, to affix (e.g. gold leaf), to press (someone for something), to urge, to compel, to influence, to overwhelm, to overpower, to repress, to push (events along), to advance (a plan), to do in spite of ..., to do even though ..., to force, to make sure, to be pressed for time, to advance troops, to attack, (of light) to be diffused across an entire surface
  圧す  【へす】  to dent, to press, to push

  有る  【ある】  to be, to exist, to live, to have, to be located, to be equipped with, to happen, to come about
  在るが儘  【あるがまま】  in truth, as it is, as you are, in practice

  均す  【ならす】  to make even, to make smooth, to make level, to average

  元  【もと】  origin, source, base, basis, foundation, root, cause, ingredient, material, (somebody's) side, (somebody's) location, original cost (or capital, principal, etc.), (plant) root, (tree) trunk, first section of a waka, counter for blades of grass, tree trunks, etc., and for falcons (in falconry), handle (chopsticks, brush, etc.), grip
  基  【もとい】  basis, foundation, cause
  失敗は成功のもと  【しっぱいはせいこうのもと】  failure teaches success, failure is a stepping-stone to success
  生兵法は大怪我のもと  【なまびょうほうはおおけがのもと】  A little learning is a dangerous thing
  基  【もとい】  basis, foundation, cause

  報いる  【むくいる】  to reward, to recompense, to repay, to retaliate, to get revenge

  境  【さかい】  border, boundary, turning point, watershed, area, region, spot, space, environment, psychological state, mental state, cognitive object, something perceptible by the sense organs or mind
  境目  【さかいめ】  borderline, boundary
  生死の境  【せいしのさかい】  between life and death

  墓  【はか】  gravesite, tomb
  墓地  【ぼち】  cemetery, graveyard
  浅はか  【あさはか】  shallow, superficial, thoughtless, short-sighted, foolish, silly
  御墓  【みはか】  imperial tomb

  増す  【ます】  to increase, to grow
  益々  【ますます】  increasingly, more and more, decreasingly (when declining), less and less
  増し  【まし】  better, less objectionable, preferable, more, increase, extra, increase, growth
  況して  【まして】  still more, to say nothing of, not to mention, still less
  増える  【ふえる】  to increase, to multiply
  増やす  【ふやす】  to increase, to add to, to augment

  夢  【ゆめ】  dream
  夢にも  【ゆめにも】  not in the slightest, not in one's wildest dreams
  初夢  【はつゆめ】  year's first dream
  逆夢  【さかゆめ】  a dream which is contradicted by reality
  夢見る  【ゆめみる】  to dream (of)

  妻  【つま】  wife, my dear, dear, honey, garnish (esp. one served with sashimi), embellishment
  端  【つま】  edge, tip, end, gable wall, gable
  我が妻  【わがつま】  my spouse (esp. used to refer to one's wife), my wife, my husband
  元妻  【もとつま】  ex-wife, former wife

  嫁  【よめ】  wife, bride, (one's) daughter-in-law

  入れる  【いれる】  to put in, to let in, to take in, to bring in, to insert, to set (a jewel, etc.), to ink in (e.g. a tattoo), to admit, to accept, to employ, to hire, to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to, to include, to pay (one's rent, etc.), to cast (a vote), to make (tea, coffee, etc.), to turn on (a switch, etc.), to send (a fax), to call

  寄る  【よる】  to approach, to draw near, to come near, to be close to, to gather (in one place), to come together, to meet, to stop by (while on one's way to another place), to drop by, to make a short visit, to grow old, to grow high (number, etc.), to grow (wrinkly), to lean against, to recline on, to push one's opponent while holding their belt, to decide on a price and come to a deal, to be swayed by (a person), to yield to
  寄ると触ると  【よるとさわると】  whenever they come together
  寄せる  【よせる】  to come near, to let someone approach, to bring near, to bring together, to collect, to gather, to deliver (opinion, news, etc.), to send (e.g. a letter), to contribute, to donate, to let someone drop by, to add (numbers), to have feelings for (love, goodwill, trust, etc.), to rely upon for a time, to depend on, to use as a pretext, to put aside, to press, to push, to force, to include, to welcome (in a group), to let in

  富む  【とむ】  to be rich in, to abound in, to be abundant in, to be full of, to be rich, to be wealthy
  富  【とみ】  riches, wealth, fortune, resources, lottery
  富くじ  【とみくじ】  lottery

  導く  【みちびく】  to guide, to lead, to show the way, to conduct, to derive, to deduce

  居る  【いる】  to be (of animate objects), to exist, to stay, verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing)
  居留守を使う  【いるすをつかう】  to pretend to be out
  居る  【おる】  to be (animate), to be, to exist, verb indicating continuing action or state (i.e. to be ..ing), indicates contempt or disdain for another's actions



  布  【ぬの】  cloth, bujian (spade-shaped bronze coin of ancient China)
  布地  【ぬのじ】  cloth, fabric
  麻布  【あさぬの】  hemp cloth, linen
  磨き布  【みがきぬの】  polishing cloth



  常  【つね】  usual state of things
  常に  【つねに】  always, constantly
  経常  【けいじょう】  ordinary
  世の常  【よのつね】  ordinary, run-of-the-mill, usual

  幹  【みき】  (tree) trunk, (arrow) shaft, (tool) handle, backbone, base

  序  【ついで】  opportunity, occasion
  序でに  【ついでに】  incidentally, taking the opportunity, while (you) are at it, on the occasion
  序  【ついで】  opportunity, occasion
  序でに  【ついでに】  incidentally, taking the opportunity, while (you) are at it, on the occasion

  弁える  【わきまえる】  to discern (e.g. right from wrong), to discriminate, to distinguish, to know (manners, one's place, etc.), to understand, to bear in mind

  張る  【はる】  to stick, to paste, to affix, to stretch, to spread, to strain, to tighten, to put up (tent), to form (e.g. ice on a pond), to fill, to swell, to stick out, to put, to slap, to be expensive, to keep a watch on, to be on the lookout, to become one tile away from completion, to span, to generate

  行く  【いく】  to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach, to proceed, to take place, to pass through, to come and go, to walk, to die, to pass away, to do (in a specific way), to stream, to flow, to continue, to have an orgasm, to come, to cum, to trip, to get high, to have a drug-induced hallucination
  行く  【いく】  to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach, to proceed, to take place, to pass through, to come and go, to walk, to die, to pass away, to do (in a specific way), to stream, to flow, to continue, to have an orgasm, to come, to cum, to trip, to get high, to have a drug-induced hallucination

  又  【また】  again, and, also, still (doing something)



  志す  【こころざす】  to plan, to intend, to aspire to, to set aims (sights on)
  志  【こころざし】  will, resolution, intention, ambition, aim, goal, kindness, goodwill, kind offer, gift (as a token of gratitude)
  お志  【おこころざし】  kindness, courtesy
  青雲の志  【せいうんのこころざし】  high (lofty) ambition

  応える  【こたえる】  to respond, to answer, to meet (e.g. demands, expectations), to affect, to take a toll, to strike home, to have an effect on, to be hard on someone (e.g. heat, cold, work, illness, etc.), to be a strain

  快い  【こころよい】  pleasant, agreeable, comfortable, refreshing

  性  【さが】  one's nature, one's destiny, custom, tradition, habit, convention
  女の性  【おんなのさが】  the ways of women



  情け  【なさけ】  pity, sympathy, compassion, mercy, affection, love
  情けない  【なさけない】  miserable, pitiable, shameful, deplorable, pathetic
  恋情  【れんじょう】  love, attachment, lovesickness
  裏情  【うらなさけ】  inner affection

  態と  【わざと】  on purpose
  態とらしい  【わざとらしい】  unnatural, affected, studied, forced

  慣れる  【なれる】  to get used to, to grow accustomed to, to become familiar with, to become skilled in, to become experienced at, to become tame, to become domesticated
  慣らす  【ならす】  to accustom, to train (e.g. one's ear), to tame, to domesticate, to train (an animal)

  承る  【うけたまわる】  to hear, to be told, to know, to receive (order), to undertake, to comply, to take (a reservation, etc.)
  受ける  【うける】  to receive, to get, to catch (e.g. a ball), to be struck by (wind, waves, sunlight, etc.), to sustain (damage), to incur (a loss), to suffer (an injury), to feel (influence), to undergo (e.g. surgery), to take (a test), to accept (a challenge), to be given (e.g. life, talent), to follow, to succeed, to be descended from, to face (south, etc.), to be modified by, to obtain (a pawned item, etc.) by paying a fee, to be well-received, to become popular, to go down well, to be funny, to be humorous

  技  【わざ】  technique, art, skill
  技あり  【わざあり】  waza-ari (in judo, a half-point awarded for good but incomplete execution)
  寝技  【ねわざ】  (in wrestling or judo) pinning technique, underhanded dealings
  投げ技  【なげわざ】  throw or throwing technique (sumo, judo)

  招く  【まねく】  to invite, to ask, to beckon, to wave someone in, to gesture to, to call in, to send for, to summon, to bring on oneself, to cause, to incur, to lead to, to result in

  授ける  【さずける】  to grant, to award, to teach
  授かる  【さずかる】  to be awarded (e.g. a prize), to be given an award, to receive (e.g. a title), to be gifted or endowed (e.g. with a talent), to be blessed (e.g. with a child), to be initiated (e.g. into a secret)

  採る  【とる】  to adopt (method, proposal, etc.), to take (measure, course of action, etc.), to decide on, to pick (e.g. flowers), to gather (e.g. mushrooms), to catch (e.g. insects), to extract (e.g. juice), to take (e.g. a sample), to assume (an attitude), to take on (workers, students), to employ, to hire, to draw in (e.g. water), to let in (e.g. light from a window)
  採るべき道  【とるべきみち】  course of action

  接ぐ  【つぐ】  to join, to piece together, to set (bones), to graft (trees)

  提げる  【さげる】  to take along, to hold in the hand, to hang (e.g. from the shoulder or waist)

  損なう  【そこなう】  to harm, to hurt, to injure, to damage, to spoil, to mar, to fail to ..., to miss one's opportunity to ...
  損なう  【そこなう】  to harm, to hurt, to injure, to damage, to spoil, to mar, to fail to ..., to miss one's opportunity to ...
  損ねる  【そこねる】  to harm, to hurt, to injure, to wreck, to miss one's chance to (do something), to fail to (do what one ought to have done)

  支える  【ささえる】  to support, to prop, to sustain, to underlay, to hold up, to defend, to hold at bay, to stem, to check
  閊える  【つかえる】  to stick, to get stuck, to get caught, to get jammed, to clog, to be unavailable, to be busy, to be occupied, to be full, to be piled up (e.g. of work), to halt (in one's speech), to stumble (over one's words), to stutter, to stammer, to feel blocked (of one's chest or throat, due to grief, anxiety, illness, etc.), to feel pressure, to feel pain
  支う  【かう】  to support, to prop up

  政  【まつりごと】  rule, government
  政所  【まんどころ】  official in charge of the administration of domains and general affairs of powerful noble families (from the middle of the Heian period), titled lady (legal wife of an important official), government office related to finances (Kamakura and Muromachi periods), clerk working for large temples and shrines
  政所  【まんどころ】  official in charge of the administration of domains and general affairs of powerful noble families (from the middle of the Heian period), titled lady (legal wife of an important official), government office related to finances (Kamakura and Muromachi periods), clerk working for large temples and shrines

  故  【ゆえ】  reason, cause, circumstances
  故に  【ゆえに】  therefore, consequently
  古い  【ふるい】  old (not person), aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article
  元  【もと】  former, ex-, past, one-time

  敵  【かたき】  rival, opponent, adversary, competitor, enemy (esp. one with which there is longstanding enmity), foe, revenge, spouse
  敵を討つ  【かたきをうつ】  to take revenge
  目の敵  【めのかたき】  enemy
  仇を討つ  【かたきをうつ】  to avenge (somebody) by striking down their killer
  叶う  【かなう】  to come true (of a wish, prayer, etc.), to be realized, to be fulfilled, to suit (e.g. a purpose), to meet (wishes, ideals, etc.), to conform to (standards, rules, etc.), to be consistent with, to match (implies competition), to rival, to bear (e.g. the heat)

  断つ  【たつ】  to sever, to cut off, to suppress, to eradicate, to exterminate, to abstain (from), to give up
  断る  【ことわる】  to refuse, to reject, to dismiss, to turn down, to decline, to inform, to give notice, to tell in advance, to ask leave, to excuse oneself (from)
  断るまでもなく  【ことわるまでもなく】  needless to say

  古い  【ふるい】  old (not person), aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article
  元  【もと】  former, ex-, past, one-time

  易しい  【やさしい】  easy, plain, simple
  易しい人  【やさしいひと】  promiscuous person
  易い  【やすい】  easy, likely to ..., have a tendency to ..., easy to ...

  暴く  【あばく】  to disclose, to divulge, to expose, to open (and rob) a grave
  暴れる  【あばれる】  to act violently, to rage, to struggle, to be riotous

  筋  【すじ】  muscle, tendon, sinew, vein, artery, fiber, fibre, string, line, stripe, streak, reason, logic, plot, storyline, lineage, descent, school (e.g. of scholarship or arts), aptitude, talent, source (of information, etc.), circle, channel, well-informed person (in a transaction), logical move (in go, shogi, etc.), ninth vertical line, seam on a helmet, gristly fish paste (made of muscle, tendons, skin, etc.), social position, status, on (a river, road, etc.), along, counter for long thin things, counter for roads or blocks when giving directions, (Edo period) counter for hundreds of mon (obsolete unit of currency)
  条海豚  【すじいるか】  striped dolphin (Stenella coeruleoalba)
  一筋  【ひとすじ】  one long straight object (e.g. strand of hair, beam of light, wisp of smoke), a single bloodline, earnest, resolute, intent, devoted, ordinary, common

  枝  【えだ】  branch, bow, bough, twig, limb
  枝毛  【えだげ】  split end of hair
  広がった枝  【ひろがったえだ】  spreading branches
  若枝  【わかえだ】  young branch, sprig





  桜  【さくら】  cherry tree, cherry blossom, decoy, fake buyer, shill, hired applauder, horse meat
  桜花  【おうか】  cherry blossom
  左近の桜  【さこんのさくら】  cherry tree east of the southern stairs of the Hall for State Ceremonies (in Heian Palace)



  構える  【かまえる】  to set up (a house, store, etc.), to build, to establish, to run, to maintain, to have at the ready (e.g. a gun), to hold in preparation (e.g. a camera), to prepare in advance (e.g. a meal), to adopt a posture, to assume a stance, to stand ready, to be poised for, to put on an air, to assume an attitude, to stiffen, to tense up, to become formal, to fabricate in order to deceive, to make up, to feign, to plan, to scheme
  構う  【かまう】  to mind, to care about, to be concerned about, to have a regard for, to be an issue, to matter, to create inconvenience, to keep company, to care for, to look after, to entertain, to pay attention to, to spend time with, to interfere with, to meddle in, to tease, to banish, to prohibit

  武し  【たけし】  brave
  武し  【たけし】  brave

  比べる  【くらべる】  to compare, to make a comparison, to compete, to vie

  長い  【ながい】  long (distance), long (time), lengthy
  長いこと  【ながいこと】  for a long time

  川  【かわ】  river, stream, River, the ... river
  河  【ホー】  discarded tiles, discards
  追河  【おいかわ】  freshwater minnow, pale chub (Zacco platypus)
  恋河  【こいかわ】  oceans of love



  混じる  【まじる】  to be mixed, to be blended with, to associate with, to mingle with, to interest, to join
  混ざる  【まざる】  to be mixed, to be blended with, to associate with, to mingle with, to join
  混ぜる  【まぜる】  to mix, to stir, to blend
  込む  【こむ】  to be crowded, to be packed, to be complex, to go into, to put into, to remain (seated), to be plunged into (silence), to do thoroughly, to do intently, to continue in the same state

  減る  【へる】  to decrease (in size or number), to diminish, to abate
  減るもんじゃない  【へるもんじゃない】  it's no big deal, it's nothing to fret about, it's not like it's the end of the world
  減らす  【へらす】  to abate, to decrease, to diminish, to shorten

  計る  【はかる】  to measure, to weigh, to survey, to time (sound, gauge, estimate), to conjecture, to infer, to surmise

  準じる  【じゅんじる】  to follow, to conform, to apply to
  準ずる  【じゅんずる】  to apply correspondingly, to correspond to, to be proportionate to, to conform to
  準える  【なぞらえる】  to pattern after, to liken to, to imitate



  潔い  【いさぎよい】  manly, sportsmanlike, gracious, gallant, resolute, brave, pure (heart, actions, etc.), upright, blameless, unsullied (e.g. scenery or object), pure, clean

  災い  【わざわい】  calamity, catastrophe, misfortune
  災いを招く  【わざわいをまねく】  to bring calamity upon oneself, to invite disaster, to court disaster

  燃える  【もえる】  to burn, to get fired up
  燃やす  【もやす】  to burn
  燃やす  【もやす】  to burn



  犯す  【おかす】  to commit (e.g. crime), to perpetrate, to make (e.g. mistake), to break (e.g. rule), to violate, to transgress, to contravene, to rape, to violate, to ravish, to deflower



  一人  【ひとり】  one person, alone, unmarried, solitary
  独り言  【ひとりごと】  soliloquy, monologue, speaking to oneself

  率いる  【ひきいる】  to lead, to spearhead (a group), to command (troops)

  現れる  【あらわれる】  to appear, to come in sight, to become visible, to come out, to embody, to materialize, to materialise, to be expressed (e.g. emotions), to become apparent (e.g. trends, effects)
  表す  【あらわす】  to represent, to signify, to stand for, to reveal, to show, to display, to express, to make widely known
  現つ  【うつつ】  reality, consciousness
  現責め  【うつつぜめ】  sleep deprivation (as a form of torture)
  現つ  【うつつ】  reality, consciousness
  現責め  【うつつぜめ】  sleep deprivation (as a form of torture)

  止める  【とめる】  to stop, to turn off, to park, to prevent, to suppress (a cough), to hold back (tears), to hold (one's breath), to relieve (pain), to stop (someone from doing something), to dissuade, to forbid, to prohibit, to notice, to be aware of, to concentrate on, to pay attention to, to remember, to bear in mind, to fix (in place), to fasten, to tack, to pin, to nail, to button, to staple, to detain, to keep in custody
  止まる  【とまる】  to stop (moving), to come to a stop, to stop (doing, working, being supplied), to come to a halt, to cease, to be stopped, to be suspended, to alight, to perch on
  留める  【とどめる】  to stop, to stay (e.g. the night), to cease, to put an end to, to contain, to keep (in position, in place), to limit, to record (e.g. a fact), to retain
  止まる  【とどまる】  to remain, to abide, to stay (in the one place), to be limited to, to be confined to
  とどまるところを知らない  【とどまるところをしらない】  knowing no bounds, showing no signs of stopping or slowing down

  略  【ほぼ】  almost, roughly, approximately

  益々  【ますます】  increasingly, more and more, decreasingly (when declining), less and less
  丈夫  【じょうふ】  hero, manly person, warrior

  眼  【まなこ】  eye, eyeball, pupil and (dark) iris of the eye, insight, perceptivity, power of observation, look, field of vision, core, center, centre, essence
  血眼  【ちまなこ】  bloodshot eyes, (doing something in a) frenzy
  百眼  【ひゃくまなこ】  using multiple simple paper masks to represent different emotions in a play (from the middle of the Edo period), simple paper mask
  目  【め】  eye, eyeball, eyesight, sight, vision, look, stare, glance, an experience, viewpoint, stitch, texture, weave, ordinal number suffix, somewhat, -ish
  眼鏡  【めがね】  spectacles, glasses, judgement, discrimination, discernment, insight
  人目  【ひとめ】  public gaze, public notice, attention
  効き目  【ききめ】  effect, virtue, efficacy, impression, one's dominant eye

  破る  【やぶる】  to tear, to rip, to break, to destroy, to break through (cordon, opponent's defense, etc.), to breach, to defeat, to beat, to break (e.g. silence), to disturb (e.g. peace), to shatter (e.g. dream), to disrupt, to spoil, to violate (e.g. rule), to break (e.g. promise), to infringe, to break (a record)
  破れる  【やぶれる】  to get torn, to tear, to rip, to break, to wear out, to be broken off (of negotiations, etc.), to break down, to collapse, to fall into ruin
  割れる  【われる】  to break, to be smashed, to split, to crack, to fissure, to be torn, to be divided (opinion, vote, etc.), to split (e.g. of a party), to come to light, to become clear, to be identified, to be revealed, to be distorted (of a sound), to be divisible (without a remainder), to go below a minimum

  確か  【たしか】  sure, certain, positive, definite, reliable, trustworthy, safe, sound, firm, accurate, correct, exact, If I'm not mistaken, If I remember correctly, If I remember rightly
  確かめる  【たしかめる】  to ascertain, to check, to make sure
  確かめる  【たしかめる】  to ascertain, to check, to make sure

  示す  【しめす】  to (take out and) show, to demonstrate, to tell, to exemplify, to make apparent, to point out (finger, clock hand, needle, etc.), to indicate, to show, to represent, to signify, to display
  示偏  【しめすへん】  kanji "show" radical at left (radical 113)





  移る  【うつる】  to move (house), to transfer (department), to change the target of interest or concern, to elapse (passage of time), to be permeated by a colour or scent, to be infected, to be contagious, to spread (as in fire)
  移す  【うつす】  to change, to swap, to substitute, to transfer, to change the object of one's interest or focus, to spend or take time, to infect, to permeate something with the smell or colour of something, to move on to the next or different stage of (a plan, etc.)

  程  【ほど】  degree, extent, bounds, limit, indicates approx. amount or maximum, upper limit
  程なく  【ほどなく】  soon, before long, shortly thereafter
  驚くほど  【おどろくほど】  to a surprising degree, to a remarkable extent, surprisingly, astonishingly, amazingly, alarmingly
  善き程  【よきほど】  greatly, considerably



  築く  【きずく】  to build, to construct, to erect, to amass (e.g. fortune), to pile up

  精げる  【しらげる】  to polish (rice), to refine, to purify
  詳しい  【くわしい】  detailed, full, accurate, knowing very well, well-acquainted, well-informed

  元  【もと】  origin, source, base, basis, foundation, root, cause, ingredient, material, (somebody's) side, (somebody's) location, original cost (or capital, principal, etc.), (plant) root, (tree) trunk, first section of a waka, counter for blades of grass, tree trunks, etc., and for falcons (in falconry), handle (chopsticks, brush, etc.), grip
  元より  【もとより】  from the beginning, from the first, all along, originally, of course
  味の素  【あじのもと】  Ajinomoto, brand name of monosodium glutamate (MSG)

  経る  【へる】  to pass, to elapse, to go by, to pass through, to go through, to experience, to go through, to undergo
  経つ  【たつ】  to pass (of time), to elapse
  経糸  【たていと】  (weaving) warp

  統べる  【すべる】  to rule over, to govern, to command, to control

  絶える  【たえる】  to die out, to peter out, to become extinct, to cease, to be stopped, to be discontinued, to be cut off
  絶えることなく  【たえることなく】  unceasing, relentless
  絶やす  【たやす】  to exterminate, to eradicate, to wipe out, to put an end to, to let (fire) go out, to let die (e.g. flowers), to run out of
  断つ  【たつ】  to sever, to cut off, to suppress, to eradicate, to exterminate, to abstain (from), to give up

  綿  【わた】  cotton plant (Gossypium spp.), batting, wadding, padding
  海神  【かいしん】  sea god, Poseidon, Neptune
  結い綿  【ゆいわた】  traditional hairstyle worn by unmarried women
  中綿  【なかわた】  padding (clothing or bedding), insulation, cotton wadding, stuffing (furniture)

  全て  【すべて】  everything, all, the whole, entirely, completely, wholly, all
  すべての道はローマに通ず  【すべてのみちはローマにつうず】  All roads lead to Rome
  全て  【すべて】  everything, all, the whole, entirely, completely, wholly, all
  すべての道はローマに通ず  【すべてのみちはローマにつうず】  All roads lead to Rome
  房  【ふさ】  tuft, tassel, bunch (of grapes, etc.), section (of an orange, etc.)
  房房  【ふさふさ】  in tufts, tufty, bushy, thick, luxuriant

  編む  【あむ】  to knit, to plait, to braid, to compile (anthology, dictionary, etc.), to edit



  織る  【おる】  to weave
  織り  【おり】  weave, weaving, woven item
  織物  【おりもの】  textile, fabric
  羽織  【はおり】  haori (Japanese formal coat)
  手織り  【ており】  handwoven, handspun, weaving by hand
  織り  【おり】  weave, weaving, woven item
  織物  【おりもの】  textile, fabric
  羽織  【はおり】  haori (Japanese formal coat)
  手織り  【ており】  handwoven, handspun, weaving by hand

  罪  【つみ】  crime, sin, wrongdoing, indiscretion, penalty, sentence, punishment, fault, responsibility, culpability, thoughtlessness, lack of consideration
  罪滅ぼし  【つみほろぼし】  atonement, expiation
  無実の罪  【むじつのつみ】  false charge
  重い罪  【おもいつみ】  serious crime, grave crime

  群れる  【むれる】  to crowd, to flock, to swarm
  群れ  【むれ】  group, crowd, flock, herd, bevy, school, swarm, cluster (e.g. of stars), clump, pack (e.g. of dogs)
  群れる  【むれる】  to crowd, to flock, to swarm
  群  【むら】  gathering
  群がる  【むらがる】  to swarm, to gather
  葉叢  【はむら】  leaves, foliage
  岩群  【いわむら】  rocky outcrop, jumble of rocks
  群がる  【むらがる】  to swarm, to gather



  耕す  【たがやす】  to till, to plow, to plough, to cultivate



  肥える  【こえる】  to grow fat, to gain weight, to put on weight, to grow fertile, to be refined (palate), to be discerning (eye, ear), to become rich, to become successful
  肥  【こえ】  manure, night soil, dung, fertiliser, fertilizer
  肥える  【こえる】  to grow fat, to gain weight, to put on weight, to grow fertile, to be refined (palate), to be discerning (eye, ear), to become rich, to become successful
  肥やす  【こやす】  to fertilize, to fertilise, to manure, to enrich
  肥やし  【こやし】  manure, night soil, dung, fertiliser, fertilizer, something that will help one develop in the future
  肥やし桶  【こやしおけ】  night soil pail
  太る  【ふとる】  to grow fat (stout, plump), to become fat, to gain weight

  良く  【よく】  nicely, properly, well, skillfully, skilfully, frequently, often
  良く良く  【よくよく】  exceedingly, very

  興る  【おこる】  to rise, to flourish
  興す  【おこす】  to vitalize (e.g. an industry), to invigorate, to energize, to revive, to promote, to make prosperous, to establish (e.g. a company), to build up, to set up, to launch, to commence

  舌  【した】  tongue, tongue-like object, clapper (of a bell), talon (of a lock)
  舌打ち  【したうち】  smacking lips, clicking tongue, tut-tut
  悪舌  【あくぜつ】  evil tongue, gossip
  牛舌魚  【うしのした】  cow's tongue, sole (any flatfish of suborder Soleoidei, esp. the tonguefishes of family Cynoglossidae or true soles of family Soleidae)



  術  【すべ】  way, method, means
  為ん術  【せんすべ】  (proper) methods









  解く  【とく】  to untie, to unfasten, to unwrap, to undo, to unbind, to unpack, to unsew, to unstitch, to solve, to work out, to answer, to dispel (misunderstanding, etc.), to clear up, to remove (suspicion), to appease, to dissolve (a contract), to cancel, to remove (a prohibition), to lift (a ban), to raise (a siege), to release (from duty), to relieve, to dismiss, to comb (out), to card, to untangle (hair)
  溶かす  【とかす】  to melt, to dissolve
  梳かす  【とかす】  to comb out, to brush, to untangle, to unravel
  解ける  【とける】  to be solved, to loosen, to come untied, to be removed (e.g. restrictions), to be cleared (e.g. misunderstandings), to be broken (e.g. spells, curses), to melt
  解く  【ほどく】  to undo, to untie, to unfasten, to unlace, to unravel, to loosen
